LongX_2,PavdS01,PavdS02,PavdS03,PavdS04,PavdS05,PavdS06,PavdS07,PavdS08,PavdS09,PavdS10,PavdS11,PavdS12,PavdS13,PavdS14,PavdS15,PavdS16,PavdS17,PavdS18,PavdS19,PavdS20,PavdS21,PavdS22,PavdS23,PavdS24,PavdS25,PavdS26,PavdS27,PavdS28,PavdS29,PavdS30,pavds
128.55,-0.017505593,-0.02135392,-0.029090031,-0.038159729,-0.017286879,-0.004130311,-0.009267388,-0.011755832,-0.002089382,,,,,,,,,,,,,,,,,,,,,,"[-0.017505592831338956, -0.021353920040508845, -0.02909003064179644, -0.03815972856245928, -0.017286878968782983, -0.00413031062510414, -0.009267387583385939, -0.011755832470953, -0.00208938238211, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.555,-0.018366993,-0.010528347,-0.004716876,0.006705414,0.006914584,0.001931977,-0.009778612,-0.002180115,-0.009100585,-0.00249525,,,,,,,,,,,,,,,,,,,,,"[-0.018366993459414976, -0.010528347140725175, -0.004716875629786149, 0.0067054144984832476, 0.006914584414492664, 0.001931976603187939, -0.009778612402659766, -0.002180115298445766, -0.0091005852911624, -0.002495249733329, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.56,0.00418853,0.009058166,0.011744639,0.012272525,0.008531146,-0.013250695,0.002284693,0.004583105,0.003082416,,,,,,,,,,,,,,,,,,,,,,"[0.0041885300834948735, 0.009058165955446784, 0.01174463881008933, 0.012272524616235694, 0.008531145999255918, -0.013250695265208765, 0.002284692985510487, 0.004583105297448766, 0.0030824161134659998, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.565,-0.020331434,-0.014209574,0.006684594,0.022204257,0.019087182,0.012581954,0.006858262,0.005416464,0.000674559,,,,,,,,,,,,,,,,,,,,,,"[-0.020331433713527358, -0.014209574409623588, 0.006684593933239363, 0.022204256614957146, 0.019087181657013674, 0.012581953858872067, 0.006858262046894538, 0.005416464194422401, 0.0006745589431380001, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.57,-0.013681282,-0.017710697,-0.012849869,-0.004831948,-0.008006009,0.002229936,0.002797613,0.002180266,0.020173506,0.010241425,0.000560418,,,,,,,,,,,,,,,,,,,,"[-0.013681281799489436, -0.017710697454747598, -0.0128498690754974, -0.004831948192049504, -0.008006009132930592, 0.0022299360081670383, 0.0027976127558345994, 0.0021802659402602605, 0.020173506438732, 0.0102414250373844, 0.0005604176782068, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.575,0.041742343,0.045020667,0.036735131,0.008239686,0.003744168,0.004766873,0.007806321,0.015478302,0.008854609,,,,,,,,,,,,,,,,,,,,,,"[0.04174234272058845, 0.04502066728545029, 0.03673513101743475, 0.00823968554256306, 0.003744168283015978, 0.004766873195097984, 0.007806320689130666, 0.015478302165865997, 0.0088546089828012, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.58,0.023748135,0.026171956,0.010396538,-0.005659013,-0.004354737,0.004516906,0.011921798,0.006939576,,,,,,,,,,,,,,,,,,,,,,,"[0.023748135459285197, 0.026171956149725756, 0.01039653793565673, -0.005659013157216425, -0.004354736722889385, 0.004516906086120306, 0.011921798105885216, 0.006939576015574959, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.585,0.044252654,0.045211943,0.032912386,0.019623048,0.015339513,0.001856399,-0.00383393,-0.000198112,0.00195325,,,,,,,,,,,,,,,,,,,,,,"[0.04425265412364712, 0.045211943213404576, 0.03291238638968169, 0.019623047504117766, 0.015339512721447214, 0.0018563986133641325, -0.003833930258406174, -0.00019811180294100096, 0.0019532498903574004, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.59,0.017133233,0.038510239,0.052077594,0.027586715,0.006864091,0.008080326,0.001550762,-0.000251201,,,,,,,,,,,,,,,,,,,,,,,"[0.017133232665149545, 0.03851023932301623, 0.052077593503767616, 0.027586714857902164, 0.006864091132215172, 0.00808032586616197, 0.0015507619286655103, -0.000251201010542, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.595,0.055536808,0.046512451,0.023770691,-0.007991823,-0.015344347,-0.005482892,0.004950951,0.001311365,,,,,,,,,,,,,,,,,,,,,,,"[0.05553680777428523, 0.04651245069125348, 0.02377069088073297, -0.007991823410493329, -0.01534434703843722, -0.0054828918650511125, 0.004950950599547219, 0.0013113649329167998, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
