LongX_2,PavdS01,PavdS02,PavdS03,PavdS04,PavdS05,PavdS06,PavdS07,PavdS08,PavdS09,PavdS10,PavdS11,PavdS12,PavdS13,PavdS14,PavdS15,PavdS16,PavdS17,PavdS18,PavdS19,PavdS20,PavdS21,PavdS22,PavdS23,PavdS24,PavdS25,PavdS26,PavdS27,PavdS28,PavdS29,PavdS30,CanpyRH095,pavds
128.55,0.147115793,0.177314864,0.166342926,0.102589244,0.05587687,0.023059009,0.006884876,,,,,,,,,,,,,,,,,,,,,,,,20.99874985,"[0.1471157929860054, 0.1773148636333644, 0.16634292611852294, 0.1025892439763994, 0.05587686965300235, 0.02305900937478446, 0.00688487621024256, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.555,0.148482959,0.189840034,0.208741715,0.15392894,0.08314148,0.038210898,0.009961561,0.006733933,0.00124847,,,,,,,,,,,,,,,,,,,,,,21.3761538,"[0.14848295891514188, 0.18984003436680016, 0.20874171481252862, 0.15392893964052193, 0.08314147992432115, 0.03821089815215337, 0.009961561154683694, 0.0067339327186344, 0.0012484695296736, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.56,0.131995521,0.182960636,0.212680927,0.134197489,0.064877451,0.030440152,0.018129126,0.009967053,0.003082416,,,,,,,,,,,,,,,,,,,,,,18.30000008,"[0.13199552100581616, 0.18296063568514706, 0.21268092705309377, 0.13419748890213673, 0.06487745132974615, 0.030440151521470317, 0.018129125933046598, 0.009967053355649099, 0.0030824161134659998, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.565,0.136568321,0.170020056,0.180553189,0.128002554,0.072027573,0.034079804,0.011868389,0.005639696,0.000674559,,,,,,,,,,,,,,,,,,,,,,18.17911754,"[0.13656832078773093, 0.17002005633446113, 0.18055318928408348, 0.1280025544803545, 0.07202757305629856, 0.0340798041969537, 0.011868389047075371, 0.005639695958234401, 0.0006745589431380001, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.57,0.138716565,0.172206484,0.179552662,0.119369594,0.056383097,0.025705657,0.013160197,0.005614691,0.020173506,0.010241425,0.000560418,,,,,,,,,,,,,,,,,,,,18.29365852,"[0.1387165654359794, 0.172206483964195, 0.17955266158562153, 0.11936959440231713, 0.0563830968747671, 0.025705657304730286, 0.0131601973420896, 0.0056146908109077605, 0.020173506438732, 0.0102414250373844, 0.0005604176782068, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.575,0.163358165,0.207923931,0.209399355,0.126005814,0.059185989,0.023561568,0.010513254,0.015478302,0.008854609,,,,,,,,,,,,,,,,,,,,,,17.73085107,"[0.16335816524942665, 0.20792393127575184, 0.20939935548429153, 0.12600581404226624, 0.0591859888024191, 0.023561568412464047, 0.010513254028878, 0.015478302165865997, 0.0088546089828012, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.58,0.153786078,0.192811215,0.191187914,0.107770564,0.049229376,0.026436227,0.01648014,0.007216835,,,,,,,,,,,,,,,,,,,,,,,17.73323938,"[0.15378607786063786, 0.19281121469037216, 0.19118791449828143, 0.10777056386586213, 0.049229376117436933, 0.026436226980205473, 0.016480139665624293, 0.007216835373546959, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.585,0.164573505,0.197775902,0.18592719,0.103794066,0.053967716,0.027241212,0.014360447,0.007994328,0.004165045,,,,,,,,,,,,,,,,,,,,,,16.79817069,"[0.164573505047209, 0.1977759018869753, 0.18592719017286546, 0.10379406594147442, 0.05396771648388709, 0.027241211836475796, 0.014360446960199655, 0.007994328303902998, 0.0041650446131824, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.59,0.153276349,0.193257621,0.189870863,0.09749916,0.038261896,0.016122823,0.005439069,,,,,,,,,,,,,,,,,,,,,,,,15.59061726,"[0.15327634851241276, 0.1932576213730499, 0.189870862614384, 0.09749915986884676, 0.03826189624607467, 0.0161228230101352, 0.00543906925711776, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.595,0.174005923,0.207542533,0.201468063,0.104858243,0.035882064,0.014131387,0.009124273,0.001311365,,,,,,,,,,,,,,,,,,,,,,,16.50540541,"[0.17400592299228582, 0.20754253302663056, 0.20146806272741874, 0.10485824329319267, 0.03588206366181282, 0.01413138710160953, 0.00912427349074272, 0.0013113649329167998, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.6,0.161103526,0.180687773,0.1522879,0.079133399,0.049191087,0.025575751,0.01809279,0.002624623,,,,,,,,,,,,,,,,,,,,,,,13.9694805,"[0.16110352616388252, 0.18068777349000412, 0.15228789995610711, 0.07913339889756488, 0.049191087007340865, 0.025575751033611597, 0.01809278963410185, 0.0026246233668642005, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.605,0.16018761,0.180303345,0.156513631,0.078413813,0.029993979,0.016471221,0.005149426,,,,,,,,,,,,,,,,,,,,,,,,13.58809519,"[0.1601876096550507, 0.18030334542854687, 0.15651363072985858, 0.07841381259761483, 0.029993979164399158, 0.016471220725604134, 0.00514942644978888, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.61,0.163164962,0.194015169,0.181835396,0.094851675,0.038979972,0.01493437,0.014275617,0.006390986,0.002663469,,,,,,,,,,,,,,,,,,,,,,14.36542549,"[0.16316496210192594, 0.1940151685888463, 0.18183539614416247, 0.09485167467759716, 0.038979972218484794, 0.01493436998928027, 0.014275617245584597, 0.006390986312180399, 0.0026634687557819995, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.615,0.192239292,0.2084133,0.170944402,0.086440785,0.038025413,0.016579455,0.01078882,0.00330934,,,,,,,,,,,,,,,,,,,,,,,14.13333333,"[0.19223929232087095, 0.2084133001195418, 0.17094440226241744, 0.08644078507486759, 0.03802541280283549, 0.016579454927058535, 0.0107888200320302, 0.0033093402162191997, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.62,0.217171354,0.231796851,0.196024995,0.104482775,0.044892951,0.017431195,0.006536269,,,,,,,,,,,,,,,,,,,,,,,,16.18056907,"[0.21717135438854557, 0.23179685085296356, 0.19602499486359412, 0.10448277510892034, 0.044892950883513534, 0.017431195080032578, 0.0065362694847864, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.625,0.191976292,0.210866858,0.180584657,0.095065654,0.0429662,0.024585589,0.023953837,0.017494982,0.008771254,,,,,,,,,,,,,,,,,,,,,,15.41943261,"[0.19197629229462848, 0.2108668581364637, 0.1805846571374564, 0.09506565427602551, 0.04296619962761663, 0.024585588708974922, 0.02395383656091454, 0.017494981671916498, 0.008771254308522, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.63,0.203681456,0.211609951,0.166686645,0.082421138,0.039704288,0.021636258,0.010138961,0.002772292,,,,,,,,,,,,,,,,,,,,,,,14.05758386,"[0.20368145646171132, 0.21160995140827993, 0.1666866445752355, 0.0824211382342464, 0.03970428764504111, 0.021636258292262678, 0.010138960561701387, 0.00277229244355104, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.635,0.210678598,0.217546412,0.173272621,0.082249499,0.042674719,0.025693479,0.012999931,0.013521397,0.001956963,,,,,,,,,,,,,,,,,,,,,,14.09129629,"[0.21067859760692553, 0.21754641239143285, 0.1732726207708142, 0.0822494993953282, 0.04267471905215648, 0.025693478518062134, 0.012999931356171121, 0.0135213967412712, 0.0019569631665948, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.64,0.196209187,0.214981402,0.173801507,0.076921006,0.036142255,0.018309179,0.010479256,0.004746165,,,,,,,,,,,,,,,,,,,,,,,14.5501482,"[0.1962091868619124, 0.21498140228705273, 0.1738015068284889, 0.07692100572857334, 0.03614225526905135, 0.018309179241152683, 0.010479255854443101, 0.0047461645561268995, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.645,0.168626733,0.178445891,0.144140172,0.067447468,0.030901711,0.021067582,0.01218131,0.02195673,0.006008844,0.000454009,,,,,,,,,,,,,,,,,,,,,14.051,"[0.16862673288465227, 0.17844589127989657, 0.14414017237200638, 0.06744746801215322, 0.03090171094177861, 0.021067581536610445, 0.012181309515091745, 0.021956729516387403, 0.0060088440310206, 0.000454009068198, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.65,0.141288713,0.148526158,0.117740398,0.056647288,0.034586743,0.028057014,0.011441415,0.002347823,,,,,,,,,,,,,,,,,,,,,,,11.89471701,"[0.1412887125522039, 0.1485261584693601, 0.11774039810523394, 0.056647288095683035, 0.034586742556579904, 0.028057013933236535, 0.01144141451921304, 0.0023478233255448, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.655,0.132643265,0.129308094,0.104009903,0.060336836,0.039529072,0.05699278,0.063633727,0.067000356,0.026080493,0.00448375,,,,,,,,,,,,,,,,,,,,,11.58999992,"[0.13264326481148606, 0.1293080938106869, 0.10400990253018048, 0.06033683582714082, 0.03952907179947948, 0.05699277979438169, 0.0636337274685498, 0.06700035631656599, 0.026080492883920798, 0.0044837496243419995, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.66,0.173067751,0.193840368,0.17191093,0.076366136,0.024749613,0.020805206,0.009127059,0.001907979,,,,,,,,,,,,,,,,,,,,,,,13.33000005,"[0.173067750512921, 0.19384036823087977, 0.1719109297564908, 0.0763661355214109, 0.024749613178925847, 0.020805205948029867, 0.00912705863825976, 0.0019079793244596, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
