LongX_2,PavdS01,PavdS02,PavdS03,PavdS04,PavdS05,PavdS06,PavdS07,PavdS08,PavdS09,PavdS10,PavdS11,PavdS12,PavdS13,PavdS14,PavdS15,PavdS16,PavdS17,PavdS18,PavdS19,PavdS20,PavdS21,PavdS22,PavdS23,PavdS24,PavdS25,PavdS26,PavdS27,PavdS28,PavdS29,PavdS30,CanpyRH095,pavds
128.55,0.164621386,0.198668784,0.195432957,0.140748973,0.073163749,0.02718932,0.016152264,0.011755832,0.002089382,,,,,,,,,,,,,,,,,,,,,,19.23461525,"[0.16462138581734437, 0.19866878367387325, 0.19543295676031938, 0.14074897253885868, 0.07316374862178533, 0.0271893199998886, 0.0161522637936285, 0.011755832470953, 0.00208938238211, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.555,0.166849952,0.200368382,0.21345859,0.147223525,0.076226896,0.036278922,0.019740174,0.008914048,0.010349055,0.00249525,,,,,,,,,,,,,,,,,,,,,20.18242416,"[0.16684995237455685, 0.20036838150752534, 0.21345859044231477, 0.14722352514203868, 0.07622689550982849, 0.036278921548965434, 0.01974017355734346, 0.008914048017080166, 0.010349054820836, 0.002495249733329, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.56,0.127806991,0.17390247,0.200936288,0.121924964,0.056346305,0.043690847,0.015844433,0.005383948,,,,,,,,,,,,,,,,,,,,,,,17.78153845,"[0.12780699092232128, 0.17390246972970028, 0.20093628824300444, 0.12192496428590104, 0.05634630533049023, 0.04369084678667908, 0.01584443294753611, 0.005383948058200333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.565,0.156899755,0.184229631,0.173868595,0.105798298,0.052940391,0.02149785,0.005010127,0.000223232,,,,,,,,,,,,,,,,,,,,,,,16.52833327,"[0.1568997545012583, 0.18422963074408472, 0.17386859535084412, 0.10579829786539735, 0.052940391399284886, 0.021497850338081635, 0.005010127000180833, 0.000223231763812, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.57,0.152397847,0.189917181,0.192402531,0.124201543,0.064389106,0.023475721,0.010362585,0.003434425,,,,,,,,,,,,,,,,,,,,,,,17.72999995,"[0.15239784723546884, 0.1899171814189426, 0.19240253066111893, 0.12420154259436664, 0.06438910600769769, 0.023475721296563248, 0.010362584586255, 0.0034344248706475, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.575,0.121615823,0.162903264,0.172664224,0.117766128,0.055441821,0.018794695,0.002706933,,,,,,,,,,,,,,,,,,,,,,,,16.75406249,"[0.1216158225288382, 0.16290326399030156, 0.17266422446685678, 0.11776612849970318, 0.05544182051940312, 0.018794695217366063, 0.002706933339747334, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.58,0.130037942,0.166639259,0.180791377,0.113429577,0.053584113,0.021919321,0.004558342,0.000277259,,,,,,,,,,,,,,,,,,,,,,,17.71647059,"[0.13003794240135266, 0.1666392585406464, 0.1807913765626247, 0.11342957702307856, 0.05358411284032632, 0.021919320894085166, 0.004558341559739077, 0.000277259357972, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.585,0.120320851,0.152563959,0.153014804,0.084171018,0.038628204,0.025384813,0.018194377,0.00819244,0.002211795,,,,,,,,,,,,,,,,,,,,,,15.55358981,"[0.12032085092356187, 0.15256395867357073, 0.15301480378318377, 0.08417101843735665, 0.038628203762439875, 0.025384813223111664, 0.01819437721860583, 0.008192440106844, 0.002211794722825, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.59,0.136143116,0.154747382,0.137793269,0.069912445,0.031397805,0.008042497,0.003888307,0.000251201,,,,,,,,,,,,,,,,,,,,,,,12.88790697,"[0.1361431158472632, 0.15474738205003366, 0.13779326911061637, 0.0699124450109446, 0.0313978051138595, 0.00804249714397323, 0.0038883073284522495, 0.000251201010542, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.595,0.118469115,0.161030082,0.177697372,0.112850067,0.051226411,0.019614279,0.004173323,,,,,,,,,,,,,,,,,,,,,,,,14.59342107,"[0.11846911521800059, 0.16103008233537708, 0.17769737184668577, 0.112850066703686, 0.05122641070025004, 0.019614278966660643, 0.0041733228911955, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.6,0.137646507,0.16354478,0.172496912,0.099317913,0.048142034,0.015406166,0.007731596,0.001498898,,,,,,,,,,,,,,,,,,,,,,,13.01108712,"[0.13764650667966952, 0.16354478035835823, 0.1724969122164438, 0.09931791260982314, 0.04814203421585268, 0.015406166448277268, 0.0077315958813416, 0.0014988980644073332, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.605,0.127531032,0.156795156,0.160552174,0.084480267,0.038986808,0.028833481,0.017675777,0.008851703,0.01020975,9.90E-05,,,,,,,,,,,,,,,,,,,,,15.45971422,"[0.12753103215779577, 0.1567951559687832, 0.16055217385292064, 0.08448026697301575, 0.038986807598960775, 0.028833481042126536, 0.01767577679960843, 0.0088517026342745, 0.010209750384092, 9.9006101664e-05, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.61,0.109908088,0.157929325,0.161001257,0.075361745,0.020559575,0.007235675,0.013587872,0.002503768,,,,,,,,,,,,,,,,,,,,,,,14.93323515,"[0.10990808843908947, 0.15792932538384133, 0.16100125655771771, 0.07536174481614459, 0.020559575317873103, 0.007235674985657538, 0.013587871566415, 0.002503767842427, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
