LongX_2,PavdS01,PavdS02,PavdS03,PavdS04,PavdS05,PavdS06,PavdS07,PavdS08,PavdS09,PavdS10,PavdS11,PavdS12,PavdS13,PavdS14,PavdS15,PavdS16,PavdS17,PavdS18,PavdS19,PavdS20,PavdS21,PavdS22,PavdS23,PavdS24,PavdS25,PavdS26,PavdS27,PavdS28,PavdS29,PavdS30,pavds
128.55,-0.10633851,-0.107485029,-0.148849156,-0.271119056,-0.236276562,-0.151909302,-0.573751624,-1,-1,,,,,,,,,,,,,,,,,,,,,,"[-0.10633850969255164, -0.10748502933184807, -0.14884915586408845, -0.2711190559627279, -0.23627656174571157, -0.15190930207600128, -0.5737516240318956, -1.0, -1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.555,-0.110080903,-0.052544953,-0.02209738,0.045545809,0.09071056,0.053253419,-0.49536608,-0.244570738,-0.879363908,-1,,,,,,,,,,,,,,,,,,,,,"[-0.1100809032188599, -0.0525449527590747, -0.02209738019918595, 0.04554580860643013, 0.09071056046879301, 0.053253418809055895, -0.49536608045789265, -0.24457073758952805, -0.8793639079812364, -1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.56,0.032772308,0.052087621,0.058449566,0.100656372,0.151405597,-0.303283096,0.144195314,0.851253624,1,,,,,,,,,,,,,,,,,,,,,,"[0.032772308097297934, 0.05208762112191997, 0.058449565843904844, 0.10065637245099317, 0.15140559703458545, -0.30328309565400263, 0.14419531409394923, 0.851253624274514, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.565,-0.129582317,-0.077129691,0.038446241,0.209873477,0.360541,0.585265674,1.36887988,24.26385969,1,,,,,,,,,,,,,,,,,,,,,,"[-0.1295823169268522, -0.07712969055103983, 0.03844624108080431, 0.20987347682291327, 0.360541000028789, 0.5852656735908238, 1.3688798800204065, 24.263859685237296, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.57,-0.089773458,-0.093254846,-0.066786383,-0.038904092,-0.124337945,0.094989031,0.269972489,0.634827088,1,1,1,,,,,,,,,,,,,,,,,,,,"[-0.08977345840292995, -0.09325484573025108, -0.06678638285756251, -0.038904091616883546, -0.12433794517932081, 0.09498903058171389, 0.26997248925189676, 0.6348270881957625, 1.0, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.575,0.343231184,0.276364427,0.212754733,0.069966515,0.067533285,0.253628651,2.883824502,1,1,,,,,,,,,,,,,,,,,,,,,,"[0.3432311836783432, 0.276364427468627, 0.21275473324519595, 0.0699665145448322, 0.0675332853059113, 0.25362865106178756, 2.8838245015148067, 1.0, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.58,0.182624663,0.157057565,0.057505718,-0.049890102,-0.081269176,0.206069618,2.615380605,25.02918591,,,,,,,,,,,,,,,,,,,,,,,"[0.1826246633923836, 0.1570575648195286, 0.05750571810074941, -0.04989010190935503, -0.08126917647896745, 0.20606961812120622, 2.6153806049074633, 25.02918590858086, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.585,0.36778874,0.29634747,0.215092825,0.233133065,0.39710655,0.073130285,-0.21072061,-0.024182271,0.883106316,,,,,,,,,,,,,,,,,,,,,,"[0.36778873972359294, 0.29634747031008196, 0.2150928248505766, 0.23313306490074137, 0.39710654980966487, 0.073130284514915, -0.21072060957852093, -0.024182270527128725, 0.8831063164228121, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.59,0.12584722,0.248858745,0.377940039,0.394589473,0.21861691,1.004703604,0.398826995,-1,,,,,,,,,,,,,,,,,,,,,,,"[0.12584722010014113, 0.24885874521977316, 0.377940039015703, 0.39458947335604616, 0.2186169099184978, 1.004703604056246, 0.398826995314384, -1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
128.595,0.468787225,0.28884324,0.133770638,-0.070818065,-0.299539765,-0.279535734,1.186332984,1,,,,,,,,,,,,,,,,,,,,,,,"[0.4687872250256055, 0.28884323982634547, 0.1337706384382652, -0.07081806545562541, -0.29953976530239945, -0.2795357338585147, 1.1863329842012196, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
