id,left,top,right,bottom,a_elev_m,a_dem_m,a_celev_m,a_ss_m,a_crh100_m,a_crh095_m,a_crh090_m,a_crh085_m,a_crh080_m,a_crh075_m,a_crh070_m,a_crh065_m,a_crh060_m,a_crh055_m,a_crh050_m,a_crh045_m,a_crh040_m,a_crh035_m,a_crh030_m,a_crh025_m,a_crh020_m,a_crh015_m,a_crh010_m,a_crh005_m,a_crh000_m,a_mfrac_m,a_rv_m,a_cv_m,a_fhd_m,a_pai_m,a_gap_m,a_pavd01_m,a_pavd02_m,a_pavd03_m,a_pavd04_m,a_pavd05_m,a_pavd06_m,a_pavd07_m,a_rg_m,a_rxrtrn_m,b_elev_m,b_dem_m,b_celev_m,b_ss_m,b_crh100_m,b_crh095_m,b_crh090_m,b_crh085_m,b_crh080_m,b_crh075_m,b_crh070_m,b_crh065_m,b_crh060_m,b_crh055_m,b_crh050_m,b_crh045_m,b_crh040_m,b_crh035_m,b_crh030_m,b_crh025_m,b_crh020_m,b_crh015_m,b_crh010_m,b_crh005_m,b_crh000_m,b_mfrac_m,b_rv_m,b_cv_m,b_fhd_m,b_pai_m,b_gap_m,b_pavd01_m,b_pavd02_m,b_pavd03_m,b_pavd04_m,b_pavd05_m,b_pavd06_m,b_pavd07_m,b_rg_m,b_rxrtrn_m,gedi_both,a_gedi_num,b_gedi_num,isburnt,iscontrol
1,336184.336,444078.1276,336684.336,443578.1276,177.434601,188.022038,189.263035,27.574338,11.8225,9.6625,8.4475,7.3125,6.2025,5.33,4.6025,4.0025,3.4425,2.875,2.285,1.7325,1.2325,0.7275,0.215,-0.33,-0.915,-1.535,-2.205,-3.045,-4.41,0.527245,1610.855724,0.31673,2.082936,0.921045,0.682392,0.067132,0.078558,0.057556,0.013481,0.000917,0,0,4006.57663,422152.3885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,0,0
2,336184.336,443578.1276,336684.336,443078.1276,255.497384,259.556883,272.683383,27.577324,17.1812,13.9388,12.3232,11.0084,9.7632,8.7212,7.8252,6.99,6.224,5.4576,4.6908,3.918,3.154,2.3748,1.556,0.7212,-0.1396,-1.0652,-2.1484,-3.5236,-5.5524,0.302026,2839.135679,0.421801,2.428299,1.682167,0.577666,0.109629,0.110477,0.085834,0.04968,0.02663,0.007931,0.000861,4190.120664,422377.9588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,0,0
3,336184.336,443078.1276,336684.336,442578.1276,162.646479,165.443151,177.511362,27.576215,14.860909,12.546364,11.402727,10.676364,10.080909,9.557273,9.062727,8.576364,8.107273,7.605454,7.076364,6.470909,5.626364,4.361818,3.332727,2.093636,0.749091,-0.684545,-1.727273,-2.860909,-4.391818,0.559378,3014.517398,0.476888,2.271007,1.726075,0.523,0.074099,0.078909,0.1059,0.092076,0.029644,0.001609,0,3210.520647,422364.1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,0,0
4,336184.336,442578.1276,336684.336,442078.1276,134.610867,128.934582,149.591087,27.575349,14.975,13.365,12.485,11.815,11.255,10.73,10.19,9.645,9.025,8.32,7.455,6.35,4.875,2.985,1.865,1.06,0.365,-0.275,-0.95,-1.79,-3.06,0.62807,2494.912842,0.578893,2.547193,1.741903,0.419902,0.071545,0.116456,0.136118,0.057734,0.0023,0,0,1244.860535,423564.4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,0,0
5,336184.336,442078.1276,336684.336,441578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0
6,336184.336,441578.1276,336684.336,441078.1276,115.64268,119.032148,133.026815,27.581082,17.379999,15.026667,13.95,13.103333,12.27,11.396667,10.366667,9.326667,8.52,7.82,7.126667,6.363333,5.48,4.396667,3.396667,2.29,0.55,-0.51,-1.303333,-2.276667,-4,0.680581,5088.281331,0.515467,2.660356,1.600602,0.483441,0.040844,0.0826,0.111431,0.070847,0.028123,0.006528,0,3282.023234,423234.6192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,0,0
7,336184.336,441078.1276,336684.336,440578.1276,126.075071,125.444183,139.509735,27.58511,13.43,10.67,9.2,7.84,7.016667,6.393333,5.83,5.28,4.71,4.106667,3.57,3.09,2.64,2.15,1.653333,1.083333,0.35,-0.573333,-1.633333,-2.866667,-5.013333,0.910814,4720.003052,0.427918,2.36833,1.426298,0.571249,0.069737,0.124696,0.107623,0.017796,0,0,0,4401.298706,421971.2877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,0,0
8,336184.336,440578.1276,336684.336,440078.1276,168.387506,168.828706,183.451581,27.589181,15.058667,11.712,9.961333,8.561333,7.47,6.541333,5.771333,5.092,4.527333,3.994667,3.480667,2.954,2.404667,1.808,1.190667,0.516,-0.247333,-1.158,-2.328,-3.880667,-6.279333,0.657558,4181.473967,0.364913,2.492957,1.422041,0.634285,0.080995,0.098568,0.090206,0.041203,0.011377,0.002358,0.000049,6007.493264,423375.3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,0,0
9,336184.336,440078.1276,336684.336,439578.1276,133.375193,133.795916,146.061267,27.594854,12.68,9.796667,8.56,7.576667,6.676667,5.826666,4.936667,4.03,3.226667,2.393333,1.483333,0.796667,0.273333,-0.186667,-0.636667,-1.08,-1.593333,-2.166667,-2.943333,-4.116667,-6.463333,0.408442,3534.013082,0.260039,2.399354,0.65502,0.739912,0.030237,0.046599,0.049743,0.018903,0.000641,0,0,7689.780762,424106.7208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,0,0
10,336184.336,439578.1276,336684.336,439078.1276,111.079399,110.378288,123.823608,27.597986,12.74,10.68,9.9,9.3,8.74,8.22,7.66,7.02,6.39,5.64,4.82,3.77,2.57,1.53,0.74,0.11,-0.52,-1.19,-2.16,-3.99,-7.02,0.372461,5983.635742,0.506923,2.270188,1.415917,0.491707,0.067396,0.128845,0.107289,0.012142,0,0,0,3858.925293,422634.2663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,0,0
